"Sex ratio at birth (male to female births)"
"173","Ethiopia","1.04","","1.04","","1.04","","1.04","","1.04","","1.04","","1.04"," a,b"
"98","Fiji","1.06","","1.06","","1.06","","1.06","","1.06","","1.06","","1.06"," a,b"
"12","Finland","1.05","","1.04","","1.05","","1.05","","1.04","","1.05","","1.05"," a,b"
"26","France","1.05","","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a,b"
"115","Gabon","1.03","","1.03","","1.03","","1.03","","1.03","","1.03","","1.03"," a,b"
"174","Gambia","1.03","","1.03","","1.03","","1.03","","1.03","","1.03","","1.03"," a,b"
"70","Georgia","1.08","","1.08","","1.11","","1.11","","1.11","","1.09","","1.07"," a,b"
"4","Germany","1.06","","1.06","","1.06","","1.06","","1.05","","1.05","","1.05"," a,b"
"142","Ghana","1.05","","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a,b"
"32","Greece","1.07","","1.07","","1.06","","1.07","","1.07","","1.06","","1.07"," a,b"
"78","Grenada","1.05","","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a,b"
"126","Guatemala","1.05","","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a,b"
"174","Guinea","1.02","","1.02","","1.02","","1.02","","1.02","","1.02","","1.02"," a,b"
"178","Guinea-Bissau","1.03","","1.03","","1.03","","1.03","","1.03","","1.03","","1.03"," a,b"
"123","Guyana","1.05","","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a,b"
"169","Haiti","1.05","","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a,b"
"132","Honduras","1.05","","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a,b"
"4","Hong Kong, China (SAR)","1.07","","1.08","","1.08","","1.09","","1.13","","1.12","","1.08"," a,b"
"43","Hungary","1.06","","1.05","","1.06","","1.06","","1.05","","1.05","","1.06"," a,b"
"6","Iceland","1.06","","1.06","","1.04","","1.04","","1.05","","1.05","","1.05"," a,b"
"129","India","1.09","","1.11","","1.11","","1.11","","1.10","","1.10","","1.10"," a,b"
"111","Indonesia","1.05","","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a,b"
"65","Iran (Islamic Republic of)","1.04","","1.04","","1.04","","1.04","","1.05","","1.05","","1.05"," a,b"
"120","Iraq","1.07","","1.07","","1.07","","1.07","","1.07","","1.07","","1.07"," a,b"
"3","Ireland","1.07","","1.07","","1.07","","1.07","","1.06","","1.06","","1.06"," a,b"
"22","Israel","1.05","","1.06","","1.06","","1.05","","1.05","","1.06","","1.05"," a,b"
"29","Italy","1.06","","1.06","","1.06","","1.06","","1.06","","1.06","","1.06"," a,b"
"96","Jamaica","1.05","","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a,b"
"19","Japan","1.06","","1.06","","1.06","","1.06","","1.06","","1.06","","1.06"," a,b"
"102","Jordan","1.05","","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a,b"
"50","Kazakhstan","1.06","","1.06","","1.06","","1.06","","1.06","","1.06","","1.07"," a,b"
"147","Kenya","1.03","","1.03","","1.03","","1.03","","1.03","","1.03","","1.03"," a,b"
"132","Kiribati","1.07","","1.07","","1.07","","1.07","","1.07","","1.07","","1.06"," a,b"
"..","Korea (Democratic People's Rep. of)","1.05","","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a,b"
"22","Korea (Republic of)","1.12","","1.14","","1.10","","1.09","","1.07","","1.06","","1.06"," a,b"
"57","Kuwait","1.04","","1.04","","1.04","","1.05","","1.05","","1.05","","1.05"," a,b"
"122","Kyrgyzstan","1.05","","1.05","","1.07","","1.05","","1.06","","1.06","","1.06"," a,b"
"140","Lao People's Democratic Republic","1.05","","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a,b"
"39","Latvia","1.06","","1.05","","1.07","","1.05","","1.04","","1.06","","1.07"," a,b"
"93","Lebanon","1.05","","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a,b"
"164","Lesotho","1.03","","1.03","","1.03","","1.03","","1.03","","1.03","","1.03"," a,b"
"176","Liberia","1.05","","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a,b"
"110","Libya","1.05","","1.06","","1.06","","1.06","","1.06","","1.06","","1.06"," a,b"
"34","Lithuania","1.06","","1.05","","1.06","","1.06","","1.05","","1.05","","1.06"," a,b"
"21","Luxembourg","1.05","","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a,b"
"162","Madagascar","1.02","","1.02","","1.02","","1.02","","1.03","","1.03","","1.03"," a,b"
"172","Malawi","1.02","","1.02","","1.02","","1.02","","1.03","","1.03","","1.03"," a,b"
"61","Malaysia","1.06","","1.06","","1.06","","1.06","","1.06","","1.06","","1.06"," a,b"
"104","Maldives","1.05","","1.08","","1.06","","1.06","","1.06","","1.08","","1.07"," a,b"
"184","Mali","1.05","","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a,b"
"28","Malta","1.06","","1.06","","1.06","","1.06","","1.06","","1.06","","1.06"," a,b"
"161","Mauritania","1.05","","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a,b"
"66","Mauritius","1.04","","1.04","","1.04","","1.04","","1.04","","1.04","","1.04"," a,b"
"76","Mexico","1.05","","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a,b"
"135","Micronesia (Federated States of)","1.07","","1.07","","1.07","","1.07","","1.07","","1.07","","1.06"," a,b"
"107","Moldova (Republic of)","1.06","","1.06","","1.05","","1.06","","1.06","","1.06","","1.06"," a,b"
"92","Mongolia","1.03","","1.03","","1.03","","1.03","","1.03","","1.03","","1.03"," a,b"
"52","Montenegro","1.08","","1.10","","1.10","","1.10","","1.10","","1.08","","1.07"," a,b"
"121","Morocco","1.05","","1.06","","1.06","","1.06","","1.06","","1.06","","1.06"," a,b"
"180","Mozambique","1.02","","1.02","","1.01","","1.01","","1.02","","1.02","","1.02"," a,b"
"145","Myanmar","1.03","","1.03","","1.03","","1.03","","1.03","","1.03","","1.03"," a,b"
"130","Namibia","1.00","","1.00","","1.01","","1.01","","1.01","","1.01","","1.01"," a,b"
"147","Nepal","1.05","","1.05","","1.07","","1.07","","1.05","","1.05","","1.07"," a,b"
"10","Netherlands","1.06","","1.06","","1.06","","1.06","","1.06","","1.06","","1.05"," a,b"
"14","New Zealand","1.05","","1.06","","1.06","","1.05","","1.06","","1.06","","1.06"," a,b"
"126","Nicaragua","1.05","","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a,b"
"189","Niger","1.05","","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a,b"
"158","Nigeria","1.06","","1.06","","1.06","","1.06","","1.06","","1.06","","1.06"," a,b"
"82","North Macedonia","1.05","","1.05","","1.05","","1.05","","1.07","","1.08","","1.06"," a,b"
"1","Norway","1.05","","1.06","","1.06","","1.05","","1.06","","1.05","","1.06"," a,b"
"47","Oman","1.05","","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a,b"
"152","Pakistan","1.06","","1.06","","1.08","","1.10","","1.09","","1.09","","1.09"," a,b"
"119","Palestine, State of","1.05","","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a,b"
"67","Panama","1.05","","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a,b"
"155","Papua New Guinea","1.08","","1.08","","1.08","","1.08","","1.08","","1.08","","1.08"," a,b"
"98","Paraguay","1.05","","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a,b"
