"Old age dependency ratio (old age (65 and older) per 100 people (ages 15-64))"
"79","Colombia","7.0","","7.6","","8.4","","9.1","","10.0","","10.2","","10.4","","10.7","","11.0","","11.4","","11.7","","12.0","","12.4",""
"156","Comoros","6.2","","6.0","","5.7","","5.5","","5.3","","5.2","","5.2","","5.1","","5.1","","5.1","","5.1","","5.2","","5.2",""
"138","Congo","5.6","","5.2","","4.9","","4.7","","4.5","","4.6","","4.6","","4.6","","4.6","","4.6","","4.7","","4.8","","4.8",""
"179","Congo (Democratic Republic of the)","5.7","","5.7","","5.7","","5.8","","5.9","","5.9","","5.9","","6.0","","6.0","","6.0","","6.0","","6.0","","5.9",""
"68","Costa Rica","7.7","","8.3","","8.8","","9.6","","10.7","","11.0","","11.3","","11.7","","12.1","","12.6","","13.0","","13.4","","13.8",""
"46","Croatia","16.9","","20.2","","23.2","","25.7","","26.2","","26.8","","27.3","","27.9","","28.5","","29.1","","29.7","","30.6","","31.4",""
"72","Cuba","13.3","","13.7","","14.4","","15.5","","18.0","","18.4","","18.9","","19.3","","19.7","","20.3","","20.8","","21.5","","22.1",""
"31","Cyprus","15.3"," c","15.4"," c","15.2"," c","15.5"," c","16.1"," c","16.5"," c","16.9"," c","17.3"," c","17.8"," c","18.3"," c","18.7"," c","19.2"," c","19.7"," c"
"26","Czechia","19.3","","19.4","","19.8","","19.7","","22.0","","22.8","","23.8","","24.8","","25.9","","26.9","","27.9","","28.9","","29.9",""
"165","Côte d'Ivoire","5.1","","5.2","","5.3","","5.4","","5.3","","5.3","","5.3","","5.2","","5.2","","5.1","","5.1","","5.2","","5.2",""
"11","Denmark","23.2","","22.6","","22.3","","22.9","","25.5","","26.1","","26.9","","27.9","","28.8","","29.7","","30.4","","30.8","","31.1",""
"171","Djibouti","4.9","","5.2","","5.4","","5.6","","6.0","","6.1","","6.3","","6.4","","6.5","","6.6","","6.7","","6.8","","6.9",""
"89","Dominican Republic","6.5","","7.2","","8.0","","8.7","","9.2","","9.3","","9.5","","9.7","","9.9","","10.1","","10.3","","10.6","","10.9",""
"85","Ecuador","7.4","","7.6","","8.1","","8.8","","9.5","","9.6","","9.8","","9.9","","10.0","","10.3","","10.5","","10.7","","11.0",""
"116","Egypt","8.4","","8.6","","8.4","","8.0","","7.7","","7.7","","7.9","","8.0","","8.2","","8.3","","8.4","","8.5","","8.6",""
"124","El Salvador","7.8","","8.3","","9.5","","10.7","","11.5","","11.7","","11.8","","11.9","","12.0","","12.1","","12.3","","12.6","","12.8",""
"144","Equatorial Guinea","8.0","","7.4","","6.5","","5.7","","4.9","","4.8","","4.6","","4.5","","4.3","","4.2","","4.2","","4.1","","4.1",""
