"Carbon dioxide emissions, per capita (tonnes)"
"169","Haiti","0.2","","0.2","","0.2","","0.2","","0.2","","0.2","","0.3","","0.3","","0.3",""
"132","Honduras","0.7","","1.0","","0.9","","1.0","","1.0","","1.0","","0.9","","1.0","","1.0",""
"4","Hong Kong, China (SAR)","6.1","","6.1","","6.0","","6.5","","6.4","","6.5","","6.7","","6.1","","6.2",""
"43","Hungary","5.2","","5.4","","4.7","","4.7","","4.3","","4.1","","4.1","","4.4","","4.5",""
"6","Iceland","7.7","","7.6","","6.1","","5.8","","5.7","","6.2","","6.2","","6.2","","6.2",""
"129","India","0.8","","0.9","","1.3","","1.3","","1.4","","1.4","","1.6","","1.5","","1.6",""
"111","Indonesia","1.2","","1.4","","1.5","","1.6","","1.7","","1.7","","1.8","","1.8","","1.7",""
"65","Iran (Islamic Republic of)","4.8","","6.0","","6.8","","6.8","","6.8","","7.0","","7.2","","7.0","","7.1",""
"120","Iraq","3.0","","2.7","","3.5","","3.6","","4.0","","4.1","","4.1","","3.7","","3.8",""
"3","Ireland","10.8","","10.7","","8.7","","7.7","","7.8","","7.5","","7.4","","7.6","","7.9",""
"22","Israel","9.2","","9.0","","9.3","","9.0","","9.7","","8.4","","8.0","","8.1","","7.9",""
"29","Italy","7.4","","7.8","","6.6","","6.4","","6.1","","5.6","","5.3","","5.4","","5.4",""
"96","Jamaica","3.7","","3.8","","2.5","","2.6","","2.4","","2.6","","2.5","","2.4","","2.5",""
"19","Japan","8.8","","9.1","","8.6","","9.0","","9.4","","9.6","","9.2","","9.0","","9.0",""
"102","Jordan","2.8","","3.1","","2.6","","2.6","","2.8","","2.6","","2.7","","2.6","","2.5",""
"50","Kazakhstan","7.5","","10.2","","13.6","","14.2","","14.0","","14.6","","13.3","","12.8","","12.9",""
"147","Kenya","0.2","","0.2","","0.3","","0.3","","0.2","","0.3","","0.3","","0.3","","0.3",""
"..","Korea (Democratic People's Rep. of)","3.1","","3.2","","2.0","","1.4","","1.5","","1.0","","1.1","","0.9","","1.0",""
"22","Korea (Republic of)","9.1","","9.4","","11.1","","11.5","","11.5","","11.4","","11.1","","11.5","","11.6",""
"57","Kuwait","22.6","","28.5","","25.7","","24.7","","23.0","","24.6","","22.1","","23.6","","22.8",""
"122","Kyrgyzstan","0.9","","1.0","","1.1","","1.3","","1.7","","1.5","","1.5","","1.7","","1.5",""
"39","Latvia","2.9","","3.4","","3.8","","3.5","","3.4","","3.4","","3.3","","3.4","","3.4",""
"93","Lebanon","3.6","","3.1","","3.7","","3.6","","3.8","","3.5","","3.6","","3.5","","3.5",""
"110","Libya","6.9","","7.4","","7.8","","5.5","","7.0","","7.6","","7.5","","6.5","","6.7",""
"34","Lithuania","2.9","","3.7","","3.9","","3.7","","3.8","","3.6","","3.5","","3.6","","3.7",""
"21","Luxembourg","18.5","","25.1","","21.0","","20.2","","19.4","","18.0","","16.7","","15.5","","14.6",""
"61","Malaysia","5.0","","6.1","","6.7","","6.7","","6.6","","7.1","","7.4","","7.3","","7.0",""
"28","Malta","5.4","","6.5","","6.2","","6.1","","6.4","","5.6","","5.5","","3.8","","3.1",""
"66","Mauritius","2.1","","2.4","","2.9","","2.9","","3.0","","3.0","","3.1","","3.2","","3.2",""
"76","Mexico","3.6","","3.9","","3.9","","3.9","","3.9","","3.8","","3.6","","3.6","","3.6",""
"107","Moldova (Republic of)","1.6","","1.9","","1.9","","1.9","","1.9","","1.6","","1.8","","1.9","","1.9",""
"92","Mongolia","3.7","","4.3","","5.2","","5.6","","6.0","","6.3","","6.1","","5.7","","5.9",""
"52","Montenegro","..","","3.3","","4.1","","4.1","","3.7","","3.6","","3.5","","3.8","","3.4",""
"121","Morocco","1.0","","1.3","","1.4","","1.5","","1.6","","1.5","","1.6","","1.6","","1.6",""
"180","Mozambique","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.2","","0.2","","0.3",""
"145","Myanmar","0.2","","0.2","","0.2","","0.2","","0.2","","0.3","","0.3","","0.4","","0.4",""
"130","Namibia","1.1","","1.3","","1.4","","1.4","","1.5","","1.5","","1.6","","1.6","","1.7",""
"147","Nepal","0.1","","0.1","","0.2","","0.2","","0.2","","0.2","","0.2","","0.2","","0.3",""
"10","Netherlands","10.1","","10.2","","10.2","","9.5","","9.3","","9.3","","8.8","","9.2","","9.3",""
"14","New Zealand","7.5","","8.2","","7.0","","6.7","","7.0","","6.9","","6.8","","6.8","","6.5",""
"126","Nicaragua","0.7","","0.7","","0.7","","0.8","","0.7","","0.7","","0.7","","0.8","","0.8",""
"189","Niger","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1",""
"158","Nigeria","0.4","","0.4","","0.3","","0.4","","0.4","","0.5","","0.5","","0.5","","0.5",""
"82","North Macedonia","4.2","","4.3","","4.0","","4.4","","4.2","","3.8","","3.6","","3.4","","3.3",""
"1","Norway","7.1","","7.4","","7.9","","7.5","","7.2","","7.1","","6.9","","6.9","","6.8",""
"47","Oman","9.0","","10.0","","13.9","","15.0","","15.5","","15.0","","14.8","","14.9","","14.1",""
"152","Pakistan","0.7","","0.7","","0.7","","0.7","","0.7","","0.7","","0.7","","0.8","","0.8",""
"67","Panama","1.6","","2.0","","2.4","","2.6","","2.6","","2.6","","2.7","","2.7","","2.5",""
"98","Paraguay","0.6","","0.6","","0.7","","0.8","","0.8","","0.8","","0.8","","0.8","","0.9",""
"82","Peru","1.0","","1.0","","1.4","","1.5","","1.5","","1.5","","1.6","","1.6","","1.7",""
"106","Philippines","0.9","","0.8","","0.8","","0.8","","0.8","","0.9","","1.0","","1.0","","1.1",""
"32","Poland","7.5","","7.7","","8.0","","7.9","","7.8","","7.7","","7.3","","7.4","","7.7",""
"40","Portugal","5.6","","5.8","","4.5","","4.5","","4.3","","4.2","","4.1","","4.5","","4.6",""
