Korea (Democratic People's Rep. of),3.1,3.2,2.0,1.4,1.5,1.0,1.1,0.9,1.0
Korea (Republic of),9.1,9.4,11.1,11.5,11.5,11.4,11.1,11.5,11.6
Kuwait,22.6,28.5,25.7,24.7,23.0,24.6,22.1,23.6,22.8
Kyrgyzstan,0.9,1.0,1.1,1.3,1.7,1.5,1.5,1.7,1.5
Latvia,2.9,3.4,3.8,3.5,3.4,3.4,3.3,3.4,3.4
Lebanon,3.6,3.1,3.7,3.6,3.8,3.5,3.6,3.5,3.5
Libya,6.9,7.4,7.8,5.5,7.0,7.6,7.5,6.5,6.7
Lithuania,2.9,3.7,3.9,3.7,3.8,3.6,3.5,3.6,3.7
Luxembourg,18.5,25.1,21.0,20.2,19.4,18.0,16.7,15.5,14.6
Malaysia,5.0,6.1,6.7,6.7,6.6,7.1,7.4,7.3,7.0
Malta,5.4,6.5,6.2,6.1,6.4,5.6,5.5,3.8,3.1
Mauritius,2.1,2.4,2.9,2.9,3.0,3.0,3.1,3.2,3.2
Mexico,3.6,3.9,3.9,3.9,3.9,3.8,3.6,3.6,3.6
Moldova (Republic of),1.6,1.9,1.9,1.9,1.9,1.6,1.8,1.9,1.9
Mongolia,3.7,4.3,5.2,5.6,6.0,6.3,6.1,5.7,5.9
Montenegro,,3.3,4.1,4.1,3.7,3.6,3.5,3.8,3.4
Morocco,1.0,1.3,1.4,1.5,1.6,1.5,1.6,1.6,1.6
Mozambique,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3
Myanmar,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4
Namibia,1.1,1.3,1.4,1.4,1.5,1.5,1.6,1.6,1.7
Nepal,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3
Netherlands,10.1,10.2,10.2,9.5,9.3,9.3,8.8,9.2,9.3
New Zealand,7.5,8.2,7.0,6.7,7.0,6.9,6.8,6.8,6.5
Nicaragua,0.7,0.7,0.7,0.8,0.7,0.7,0.7,0.8,0.8
Niger,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Nigeria,0.4,0.4,0.3,0.4,0.4,0.5,0.5,0.5,0.5
North Macedonia,4.2,4.3,4.0,4.4,4.2,3.8,3.6,3.4,3.3
Norway,7.1,7.4,7.9,7.5,7.2,7.1,6.9,6.9,6.8
Oman,9.0,10.0,13.9,15.0,15.5,15.0,14.8,14.9,14.1
Pakistan,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8
Panama,1.6,2.0,2.4,2.6,2.6,2.6,2.7,2.7,2.5
Paraguay,0.6,0.6,0.7,0.8,0.8,0.8,0.8,0.8,0.9
Peru,1.0,1.0,1.4,1.5,1.5,1.5,1.6,1.6,1.7
Philippines,0.9,0.8,0.8,0.8,0.8,0.9,1.0,1.0,1.1
Poland,7.5,7.7,8.0,7.9,7.8,7.7,7.3,7.4,7.7
Portugal,5.6,5.8,4.5,4.5,4.3,4.2,4.1,4.5,4.6
Qatar,35.9,38.4,29.9,30.7,31.7,30.5,31.1,30.3,29.8
Romania,3.9,4.3,3.6,4.0,3.9,3.4,3.4,3.5,3.4
Russian Federation,10.1,10.3,10.7,11.2,10.8,10.5,10.3,10.1,9.9
Saudi Arabia,11.4,12.5,15.3,15.4,15.9,15.7,16.4,16.8,16.3
Senegal,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5
Serbia,4.5,5.4,5.1,5.6,5.0,5.1,4.3,5.0,5.1
Singapore,10.5,8.9,8.6,8.9,8.6,8.5,8.3,7.9,8.0
Slovakia,6.8,6.9,6.4,6.1,5.8,5.9,5.4,5.4,5.6
Slovenia,7.1,7.7,7.6,7.5,7.2,6.9,6.2,6.2,6.5
South Africa,6.2,7.8,7.9,7.6,7.8,7.8,8.0,7.4,7.4
South Sudan,,,,,0.1,0.1,0.1,0.2,0.2
Spain,6.8,7.6,5.6,5.6,5.5,5.0,5.0,5.3,5.1
Sri Lanka,0.6,0.7,0.6,0.7,0.8,0.7,0.8,0.9,1.0
Sudan,0.2,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5
Suriname,3.1,3.3,3.2,3.3,3.7,3.6,3.6,3.7,3.4
Sweden,5.9,5.4,4.9,4.5,4.1,3.9,3.8,3.8,3.9
Switzerland,5.9,6.0,5.5,5.0,5.1,5.1,4.6,4.5,4.5
Syrian Arab Republic,2.3,2.9,2.6,2.5,2.0,1.6,1.5,1.4,1.5
Tajikistan,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6
Tanzania (United Republic of),0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2
Thailand,2.4,3.1,3.3,3.3,3.5,3.6,3.6,3.6,3.5
Togo,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.3,0.3
Trinidad and Tobago,8.0,13.5,16.8,16.6,16.4,17.0,17.1,15.8,15.3
Tunisia,1.8,1.9,2.2,2.1,2.2,2.2,2.3,2.3,2.2
Turkey,3.2,3.2,3.7,3.9,4.0,3.8,4.0,4.1,4.2
Turkmenistan,8.1,10.1,11.2,11.9,12.2,12.2,12.3,12.4,12.2
Ukraine,6.0,6.2,5.8,6.1,6.0,5.9,5.2,4.2,4.4
United Arab Emirates,25.5,24.2,18.1,17.7,18.4,19.2,19.1,20.1,20.5
United Kingdom,8.8,8.8,7.5,6.9,7.2,6.9,6.2,6.0,5.6
United States,20.3,19.3,17.3,16.5,15.6,15.9,15.8,15.3,15.0
Uruguay,1.5,1.6,1.8,2.1,2.4,2.1,1.8,1.9,1.8
Uzbekistan,4.6,4.1,3.4,3.7,3.7,3.2,3.2,2.9,2.7
Venezuela (Bolivarian Republic of),4.8,5.2,6.0,5.0,5.6,5.1,5.0,4.7,4.3
Viet Nam,0.6,0.9,1.4,1.4,1.4,1.4,1.6,1.8,2.0
Yemen,0.8,0.9,1.0,0.8,0.7,1.0,0.9,0.4,0.3
Zambia,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2
Zimbabwe,1.1,0.9,0.7,0.9,0.9,0.9,0.8,0.9,0.7
