"Carbon dioxide emissions (kg per 2010 US$ of GDP)"
"169","Haiti","0.09","","0.14","","0.14","","0.14","","0.13","","0.13","","0.16","","0.19","","0.18",""
"132","Honduras","0.21","","0.27","","0.24","","0.25","","0.25","","0.25","","0.23","","0.24","","0.23",""
"4","Hong Kong, China (SAR)","0.18","","0.15","","0.13","","0.13","","0.13","","0.13","","0.13","","0.11","","0.11",""
"43","Hungary","0.30","","0.25","","0.22","","0.21","","0.20","","0.18","","0.17","","0.18","","0.18",""
"6","Iceland","0.23","","0.19","","0.16","","0.15","","0.15","","0.15","","0.15","","0.15","","0.14",""
"129","India","0.34","","0.30","","0.30","","0.29","","0.30","","0.29","","0.29","","0.27","","0.26",""
"111","Indonesia","0.21","","0.21","","0.18","","0.18","","0.18","","0.18","","0.18","","0.17","","0.17",""
"65","Iran (Islamic Republic of)","0.38","","0.39","","0.38","","0.38","","0.41","","0.43","","0.43","","0.43","","0.39",""
"120","Iraq","0.25","","0.25","","0.27","","0.27","","0.27","","0.27","","0.28","","0.25","","0.24",""
"3","Ireland","0.28","","0.23","","0.20","","0.17","","0.18","","0.17","","0.15","","0.13","","0.12",""
"22","Israel","0.34","","0.33","","0.31","","0.29","","0.31","","0.26","","0.25","","0.25","","0.23",""
"29","Italy","0.21","","0.22","","0.19","","0.18","","0.18","","0.17","","0.16","","0.16","","0.16",""
"96","Jamaica","0.47","","0.45","","0.31","","0.32","","0.31","","0.33","","0.32","","0.31","","0.31",""
"19","Japan","0.27","","0.26","","0.25","","0.26","","0.26","","0.26","","0.25","","0.24","","0.24",""
"102","Jordan","0.39","","0.36","","0.28","","0.29","","0.32","","0.31","","0.32","","0.31","","0.31",""
"50","Kazakhstan","0.77","","0.66","","0.69","","0.68","","0.65","","0.65","","0.58","","0.56","","0.56",""
"147","Kenya","0.12","","0.10","","0.11","","0.11","","0.09","","0.10","","0.10","","0.11","","0.11",""
"..","Korea (Democratic People's Rep. of)","0.63","","0.70","","0.49","","0.36","","0.37","","0.25","","0.29","","0.22","","0.25",""
"22","Korea (Republic of)","0.44","","0.37","","0.37","","0.37","","0.36","","0.35","","0.33","","0.33","","0.33",""
"57","Kuwait","0.33","","0.31","","0.35","","0.32","","0.30","","0.33","","0.31","","0.34","","0.33",""
"122","Kyrgyzstan","0.45","","0.41","","0.41","","0.46","","0.61","","0.51","","0.50","","0.52","","0.47",""
"39","Latvia","0.27","","0.20","","0.22","","0.19","","0.17","","0.17","","0.16","","0.16","","0.15",""
"93","Lebanon","0.35","","0.30","","0.26","","0.26","","0.29","","0.28","","0.29","","0.30","","0.30",""
"110","Libya","0.32","","0.29","","0.27","","0.51","","0.32","","0.50","","0.94","","0.89","","0.96",""
"34","Lithuania","0.25","","0.21","","0.20","","0.17","","0.17","","0.15","","0.14","","0.14","","0.14",""
"21","Luxembourg","0.24","","0.30","","0.24","","0.24","","0.23","","0.21","","0.19","","0.18","","0.16",""
"61","Malaysia","0.31","","0.33","","0.33","","0.31","","0.30","","0.31","","0.31","","0.29","","0.28",""
"28","Malta","0.23","","0.25","","0.22","","0.22","","0.23","","0.19","","0.17","","0.11","","0.09",""
"66","Mauritius","0.19","","0.20","","0.19","","0.18","","0.18","","0.18","","0.18","","0.17","","0.17",""
"76","Mexico","0.24","","0.25","","0.25","","0.25","","0.25","","0.24","","0.22","","0.22","","0.21",""
"107","Moldova (Republic of)","0.79","","0.67","","0.58","","0.54","","0.53","","0.42","","0.44","","0.46","","0.45",""
"92","Mongolia","0.82","","0.73","","0.69","","0.65","","0.63","","0.61","","0.55","","0.51","","0.53",""
"52","Montenegro","..","","0.29","","0.31","","0.29","","0.27","","0.26","","0.25","","0.25","","0.22",""
"121","Morocco","0.23","","0.24","","0.22","","0.23","","0.23","","0.22","","0.22","","0.22","","0.22",""
"180","Mozambique","0.13","","0.10","","0.11","","0.12","","0.10","","0.11","","0.14","","0.16","","0.23",""
"145","Myanmar","0.16","","0.10","","0.04","","0.04","","0.06","","0.06","","0.07","","0.07","","0.08",""
"130","Namibia","0.17","","0.17","","0.17","","0.16","","0.16","","0.16","","0.16","","0.16","","0.17",""
"147","Nepal","0.09","","0.07","","0.08","","0.08","","0.09","","0.08","","0.09","","0.09","","0.13",""
"10","Netherlands","0.25","","0.24","","0.23","","0.21","","0.21","","0.21","","0.20","","0.20","","0.20",""
"14","New Zealand","0.28","","0.27","","0.22","","0.21","","0.22","","0.21","","0.21","","0.20","","0.19",""
"126","Nicaragua","0.21","","0.20","","0.19","","0.19","","0.17","","0.16","","0.16","","0.17","","0.17",""
"189","Niger","0.08","","0.07","","0.10","","0.10","","0.12","","0.11","","0.12","","0.11","","0.11",""
"158","Nigeria","0.13","","0.10","","0.07","","0.07","","0.07","","0.09","","0.09","","0.08","","0.09",""
"82","North Macedonia","0.49","","0.46","","0.36","","0.38","","0.37","","0.32","","0.29","","0.27","","0.26",""
"1","Norway","0.13","","0.13","","0.14","","0.13","","0.12","","0.12","","0.12","","0.12","","0.11",""
"47","Oman","0.21","","0.25","","0.31","","0.37","","0.37","","0.37","","0.38","","0.39","","0.37",""
"152","Pakistan","0.20","","0.19","","0.18","","0.18","","0.17","","0.17","","0.17","","0.17","","0.17",""
"67","Panama","0.16","","0.17","","0.16","","0.15","","0.15","","0.14","","0.14","","0.13","","0.12",""
"98","Paraguay","0.10","","0.10","","0.11","","0.11","","0.11","","0.09","","0.10","","0.10","","0.11",""
"82","Peru","0.16","","0.14","","0.14","","0.15","","0.13","","0.13","","0.14","","0.13","","0.14",""
"106","Philippines","0.21","","0.18","","0.15","","0.15","","0.14","","0.15","","0.15","","0.15","","0.16",""
"32","Poland","0.53","","0.47","","0.38","","0.36","","0.35","","0.34","","0.31","","0.30","","0.31",""
"40","Portugal","0.22","","0.22","","0.16","","0.17","","0.17","","0.16","","0.16","","0.17","","0.17",""
"41","Qatar","0.34","","0.36","","0.25","","0.25","","0.27","","0.26","","0.27","","0.27","","0.27",""
"52","Romania","0.38","","0.31","","0.22","","0.23","","0.22","","0.19","","0.18","","0.18","","0.17",""
"49","Russian Federation","0.81","","0.60","","0.52","","0.52","","0.49","","0.47","","0.45","","0.46","","0.45",""
"36","Saudi Arabia","0.27","","0.28","","0.34","","0.32","","0.33","","0.32","","0.34","","0.34","","0.33",""
"166","Senegal","0.19","","0.20","","0.20","","0.21","","0.19","","0.20","","0.21","","0.22","","0.23",""
"63","Serbia","0.75","","0.64","","0.52","","0.56","","0.50","","0.50","","0.43","","0.50","","0.49",""
"9","Singapore","0.21","","0.15","","0.12","","0.12","","0.12","","0.11","","0.11","","0.10","","0.10",""
"36","Slovakia","0.44","","0.35","","0.26","","0.24","","0.22","","0.22","","0.20","","0.19","","0.19",""
"24","Slovenia","0.32","","0.30","","0.27","","0.27","","0.27","","0.26","","0.22","","0.22","","0.23",""
"113","South Africa","0.66","","0.72","","0.68","","0.63","","0.65","","0.65","","0.66","","0.61","","0.62",""
"186","South Sudan","..","","..","","..","","..","","0.07","","0.07","","0.07","","0.10","","0.08",""
"25","Spain","0.23","","0.24","","0.18","","0.18","","0.18","","0.17","","0.16","","0.17","","0.16",""
"71","Sri Lanka","0.10","","0.11","","0.07","","0.08","","0.08","","0.07","","0.08","","0.09","","0.09",""
"168","Sudan","0.07","","0.10","","0.10","","0.10","","0.09","","0.09","","0.09","","0.10","","0.11",""
"98","Suriname","0.32","","0.28","","0.23","","0.23","","0.25","","0.24","","0.24","","0.26","","0.25",""
"8","Sweden","0.16","","0.14","","0.12","","0.11","","0.10","","0.09","","0.09","","0.09","","0.08",""
"2","Switzerland","0.12","","0.12","","0.10","","0.09","","0.10","","0.10","","0.08","","0.08","","0.08",""
"154","Syrian Arab Republic","0.43","","0.51","","0.43","","0.47","","0.43","","0.43","","0.52","","0.69","","0.77",""
"125","Tajikistan","0.30","","0.20","","0.15","","0.14","","0.16","","0.15","","0.19","","0.19","","0.20",""
"159","Tanzania (United Republic of)","0.05","","0.07","","0.07","","0.08","","0.10","","0.09","","0.09","","0.09","","0.08",""
"77","Thailand","0.27","","0.27","","0.25","","0.25","","0.25","","0.25","","0.24","","0.24","","0.23",""
"167","Togo","0.15","","0.15","","0.27","","0.23","","0.19","","0.19","","0.19","","0.19","","0.19",""
"63","Trinidad and Tobago","0.44","","0.52","","0.55","","0.55","","0.54","","0.54","","0.55","","0.52","","0.52",""
"91","Tunisia","0.25","","0.22","","0.21","","0.21","","0.21","","0.21","","0.21","","0.22","","0.21",""
"59","Turkey","0.24","","0.20","","0.21","","0.20","","0.20","","0.18","","0.18","","0.18","","0.18",""
"108","Turkmenistan","1.55","","1.59","","1.15","","1.09","","1.01","","0.94","","0.87","","0.85","","0.79",""
"88","Ukraine","1.28","","0.87","","0.76","","0.75","","0.74","","0.71","","0.67","","0.60","","0.62",""
"35","United Arab Emirates","0.25","","0.27","","0.33","","0.32","","0.32","","0.32","","0.31","","0.32","","0.31",""
"15","United Kingdom","0.27","","0.24","","0.21","","0.19","","0.20","","0.19","","0.17","","0.16","","0.15",""
"15","United States","0.45","","0.40","","0.36","","0.34","","0.32","","0.32","","0.31","","0.30","","0.29",""
"57","Uruguay","0.12","","0.12","","0.11","","0.12","","0.13","","0.11","","0.09","","0.10","","0.09",""
"108","Uzbekistan","1.88","","1.36","","0.82","","0.83","","0.78","","0.64","","0.61","","0.51","","0.45",""
"96","Venezuela (Bolivarian Republic of)","0.34","","0.35","","0.36","","0.30","","0.32","","0.29","","0.30","","0.30","","0.33",""
"118","Viet Nam","0.22","","0.28","","0.33","","0.31","","0.29","","0.29","","0.30","","0.33","","0.35",""
"177","Yemen","0.20","","0.22","","0.22","","0.22","","0.20","","0.25","","0.25","","0.16","","0.15",""
"143","Zambia","0.08","","0.07","","0.04","","0.04","","0.05","","0.05","","0.06","","0.06","","0.06",""
"150","Zimbabwe","0.43","","0.49","","0.46","","0.47","","0.42","","0.41","","0.40","","0.40","","0.35",""
"170","Afghanistan","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"36","Andorra","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"74","Antigua and Barbuda","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"185","Burundi","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"182","Burkina Faso","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"60","Bahamas","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"103","Belize","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"56","Barbados","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"134","Bhutan","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"188","Central African Republic","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"156","Comoros","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"126","Cabo Verde","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"171","Djibouti","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"98","Dominica","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"98","Fiji","..","","..","","..","","..","","..","","..","","..","","..","","..",""
