"Fresh water withdrawals (% of total renewable water resources)"
"78","Grenada","..","","..","","..","","5.0","","..","","..","","..","","..","","7.0","","..","","..","","..",""
"178","Guinea-Bissau","..","","..","","0.6","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"123","Guyana","..","","..","","0.6","","..","","0.5","","..","","..","","..","","..","","..","","..","","..",""
"169","Haiti","..","","9.2","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"43","Hungary","..","","..","","..","","..","","..","","..","","4.9","","..","","..","","..","","..","","..",""
"6","Iceland","..","","..","","..","","..","","..","","..","","2.1","","..","","..","","0.2","","..","","..",""
"129","India","26.2","","..","","31.9","","..","","33.9","","..","","..","","..","","..","","..","","..","","..",""
"111","Indonesia","3.7","","..","","5.6","","..","","..","","..","","..","","..","","..","","..","","11.0","","..",""
"65","Iran (Islamic Republic of)","..","","50.9","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"120","Iraq","47.6","","60.5","","73.4","","..","","..","","..","","..","","..","","..","","..","","42.9","","..",""
"22","Israel","89.0","","86.1","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"29","Italy","..","","..","","23.6","","..","","..","","..","","..","","..","","..","","17.9","","..","","..",""
"96","Jamaica","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","12.5","","..",""
"102","Jordan","..","","..","","..","","..","","..","","..","","90.6","","..","","..","","..","","96.4","","..",""
"50","Kazakhstan","..","","30.7","","..","","..","","..","","..","","18.7","","..","","..","","..","","19.8","","..",""
"147","Kenya","6.7","","..","","..","","..","","10.5","","..","","..","","..","","..","","..","","13.1","","..",""
"..","Korea (Democratic People's Rep. of)","..","","..","","..","","11.2","","..","","..","","..","","..","","..","","..","","..","","..",""
"22","Korea (Republic of)","29.5","","..","","..","","41.7","","..","","..","","..","","..","","..","","..","","..","","..",""
"122","Kyrgyzstan","..","","..","","42.7","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"140","Lao People's Democratic Republic","..","","..","","..","","1.0","","..","","..","","..","","..","","..","","..","","..","","..",""
"39","Latvia","..","","1.2","","..","","..","","..","","..","","0.7","","..","","..","","..","","0.6","","..",""
"93","Lebanon","..","","29.3","","28.1","","24.3","","..","","..","","..","","..","","..","","40.2","","..","","..",""
"164","Lesotho","..","","..","","1.4","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"176","Liberia","..","","..","","0.1","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"110","Libya","680.0","","..","","615.4","","688.9","","..","","..","","822.9","","..","","..","","..","","..","","..",""
"34","Lithuania","..","","17.7","","..","","..","","..","","..","","..","","..","","..","","..","","..","","11.3",""
"21","Luxembourg","..","","1.6","","..","","..","","..","","..","","1.3","","..","","..","","..","","1.3","","..",""
"162","Madagascar","..","","..","","4.0","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"172","Malawi","..","","..","","..","","7.9","","..","","..","","..","","..","","..","","..","","..","","..",""
"61","Malaysia","1.7","","..","","1.6","","1.9","","..","","..","","..","","..","","..","","..","","..","","..",""
"28","Malta","..","","58.4","","..","","..","","..","","..","","33.7","","..","","..","","..","","83.0","","..",""
"161","Mauritania","..","","..","","14.0","","11.8","","..","","..","","..","","..","","..","","..","","..","","..",""
"66","Mauritius","20.6","","22.4","","22.2","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"76","Mexico","..","","..","","..","","..","","..","","..","","17.7","","..","","..","","..","","18.6","","..",""
"92","Mongolia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","1.3","","..",""
"121","Morocco","..","","38.8","","..","","..","","35.7","","..","","..","","..","","..","","..","","..","","..",""
"180","Mozambique","0.3","","..","","..","","..","","..","","..","","..","","..","","..","","0.7","","..","","..",""
