"Renewable energy consumption (% of total final energy consumption)"
"HDI Rank (2018)","Country","1995",""
"170","Afghanistan","35.1",""
"69","Albania","50.6",""
"82","Algeria","0.4",""
"36","Andorra","14.5",""
"149","Angola","73.9",""
"74","Antigua and Barbuda","0",""
"48","Argentina","11.2",""
"81","Armenia","9.3",""
"6","Australia","8.2",""
"20","Austria","25.6",""
"87","Azerbaijan","1.4",""
"60","Bahamas","0",""
"45","Bahrain","0",""
"135","Bangladesh","63.8",""
"56","Barbados","16",""
"50","Belarus","2.5",""
"17","Belgium","1.3",""
"103","Belize","34.9",""
"163","Benin","94.8",""
"134","Bhutan","94.4",""
"114","Bolivia (Plurinational State of)","33.5",""
"75","Bosnia and Herzegovina","33.2",""
"94","Botswana","47.2",""
"79","Brazil","46.1",""
"43","Brunei Darussalam","0",""
"52","Bulgaria","3.1",""
"182","Burkina Faso","93.1",""
"185","Burundi","95.1",""
"126","Cabo Verde","39.1",""
"146","Cambodia","82.5",""
"150","Cameroon","84.5",""
"13","Canada","21.9",""
"188","Central African Republic","93",""
"187","Chad","98.1",""
"42","Chile","34.2",""
"85","China","29.5",""
"79","Colombia","33.7",""
"156","Comoros","59.5",""
"138","Congo","69.8",""
"179","Congo (Democratic Republic of the)","96.9",""
"68","Costa Rica","35",""
"46","Croatia","30.4",""
"72","Cuba","41.3",""
"31","Cyprus","3.4",""
"26","Czechia","5.3",""
"165","Côte d'Ivoire","74.9",""
"11","Denmark","7.5",""
"171","Djibouti","31.2",""
"98","Dominica","15.6",""
"89","Dominican Republic","22.3",""
"85","Ecuador","20.4",""
"116","Egypt","9",""
"124","El Salvador","54.7",""
"144","Equatorial Guinea","82.5",""
"182","Eritrea","77.9",""
"30","Estonia","12.3",""
"138","Eswatini (Kingdom of)","72.8",""
"173","Ethiopia","96.6",""
"98","Fiji","60.1",""
"12","Finland","27.3",""
"26","France","10.7",""
"115","Gabon","71.9",""
"174","Gambia","59.6",""
"70","Georgia","46.4",""
"4","Germany","2.3",""
"142","Ghana","79.8",""
"32","Greece","8.3",""
"78","Grenada","7.4",""
"126","Guatemala","65.1",""
"174","Guinea","89.9",""
"178","Guinea-Bissau","88.6",""
"123","Guyana","38.4",""
"169","Haiti","81.3",""
"132","Honduras","63",""
"4","Hong Kong, China (SAR)","0.8",""
"43","Hungary","5.4",""
"6","Iceland","55.7",""
"129","India","54.5",""
"111","Indonesia","50.1",""
"65","Iran (Islamic Republic of)","1",""
"120","Iraq","0.4",""
"3","Ireland","1.9",""
"22","Israel","5.4",""
"29","Italy","4.5",""
"96","Jamaica","10.8",""
"19","Japan","3.9",""
"102","Jordan","2.2",""
"50","Kazakhstan","1.6",""
"147","Kenya","79.5",""
"132","Kiribati","4.3",""
"..","Korea (Democratic People's Rep. of)","9.6",""
"22","Korea (Republic of)","0.4",""
"57","Kuwait","0.1",""
"122","Kyrgyzstan","35",""
"140","Lao People's Democratic Republic","86",""
"39","Latvia","32.4",""
"93","Lebanon","4.5",""
"164","Lesotho","50.8",""
"176","Liberia","86.6",""
"110","Libya","2.2",""
"34","Lithuania","10.3",""
"21","Luxembourg","4",""
"162","Madagascar","82.9",""
"172","Malawi","81.7",""
"61","Malaysia","9",""
"104","Maldives","3.3",""
"184","Mali","88.1",""
"28","Malta","0",""
"117","Marshall Islands","19.4",""
"161","Mauritania","45.2",""
"66","Mauritius","38.8",""
"76","Mexico","13.3",""
"135","Micronesia (Federated States of)","1.4",""
"107","Moldova (Republic of)","2.8",""
"92","Mongolia","3",""
"121","Morocco","17.2",""
"180","Mozambique","92.8",""
"145","Myanmar","85.2",""
"130","Namibia","33.7",""
"..","Nauru","0",""
"147","Nepal","91.7",""
"10","Netherlands","1.3",""
"14","New Zealand","30.6",""
"126","Nicaragua","64.5",""
"158","Nigeria","88",""
"82","North Macedonia","17.8",""
"1","Norway","60",""
"47","Oman","0",""
"152","Pakistan","53.1",""
"55","Palau","0",""
"119","Palestine, State of","21",""
"67","Panama","35.3",""
"155","Papua New Guinea","70.7",""
"98","Paraguay","70.2",""
"82","Peru","33.3",""
"106","Philippines","38.9",""
"32","Poland","6.3",""
"40","Portugal","23.7",""
"41","Qatar","0",""
"52","Romania","8.6",""
"49","Russian Federation","3.9",""
"157","Rwanda","88.4",""
"73","Saint Kitts and Nevis","36.7",""
"89","Saint Lucia","3.1",""
"94","Saint Vincent and the Grenadines","9.1",""
"111","Samoa","45.2",""
"137","Sao Tome and Principe","53.9",""
"36","Saudi Arabia","0",""
"166","Senegal","53.2",""
"63","Serbia","25",""
"62","Seychelles","3",""
"181","Sierra Leone","90.2",""
"9","Singapore","0.5",""
"36","Slovakia","4.2",""
"24","Slovenia","11.5",""
"153","Solomon Islands","60",""
"..","Somalia","90.6",""
"113","South Africa","18.1",""
"25","Spain","8.3",""
"71","Sri Lanka","69.9",""
"168","Sudan","81.5",""
"8","Sweden","33.9",""
"2","Switzerland","18.1",""
"154","Syrian Arab Republic","1.8",""
"125","Tajikistan","60.6",""
"159","Tanzania (United Republic of)","93.4",""
"77","Thailand","22.7",""
"167","Togo","81.5",""
"105","Tonga","1.2",""
"63","Trinidad and Tobago","1.2",""
"91","Tunisia","14.4",""
"59","Turkey","22.1",""
"108","Turkmenistan","0",""
"..","Tuvalu","0",""
"159","Uganda","96",""
"88","Ukraine","1",""
"35","United Arab Emirates","0.1",""
"15","United Kingdom","1.1",""
"15","United States","4.7",""
"57","Uruguay","41.1",""
"108","Uzbekistan","1.5",""
"141","Vanuatu","27.2",""
"96","Venezuela (Bolivarian Republic of)","13.1",""
"118","Viet Nam","65.1",""
"177","Yemen","1.5",""
"143","Zambia","87.1",""
"150","Zimbabwe","67.1",""
"18","Liechtenstein","..",""
"52","Montenegro","..",""
"189","Niger","..",""
"186","South Sudan","..",""
"98","Suriname","..",""
"131","Timor-Leste","..",""
"","Human Development","..",""
" ","Very high human development","6.7",""
" ","High human development","26.1",""
" ","Medium human development","56.1",""
" ","Low human development","84.1",""
" ","Developing Countries","33.7",""
"","Regions","..",""
" ","Arab States","6.7",""
" ","East Asia and the Pacific","32.0",""
" ","Europe and Central Asia","6.9",""
" ","Latin America and the Caribbean","30.4",""
" ","South Asia","46.0",""
" ","Sub-Saharan Africa","73.2",""
" ","Least Developed Countries","85.6",""
" ","Small Island Developing States","30.5",""
" ","Organization for Economic Co-operation and Development","7.4",""
" ","World","17.9",""
""
