Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 Bhutan,2510.6,2430.4,2443.8,2534.5,2778.9,2792.2,2978.7,3187.4,3034.0,3232.2,4053.1,4302.5,4609.0,4838.9,5038.6,5371.8,5733.7,6647.1,6796.0,7085.0,7717.7,8178.6,8355.1,8517.6,8895.8,9371.6,9850.6,10174.6,10327.4,10745.8
 Bolivia (Plurinational State of),4352.1,4514.8,4546.4,4640.8,4782.4,4901.7,5023.8,5184.0,5367.6,5262.3,5275.5,5267.7,5296.9,5276.0,5355.3,5518.3,5702.8,5847.4,6133.0,6198.7,6301.1,6481.3,6608.4,6937.1,7313.5,7718.3,8056.5,8185.5,8444.8,8553.8
 Bosnia and Herzegovina,1775.1,1643.8,1587.3,1611.6,1855.8,2309.3,3830.0,5373.9,7998.9,8438.3,8490.5,8572.6,8863.7,9092.0,9539.4,9870.5,10292.6,10906.1,11591.3,11314.4,11252.4,11398.4,11492.0,12032.1,12322.0,12881.6,13383.5,13738.5,14377.9,14871.8
 Botswana,8866.1,9636.9,9737.0,10047.1,9107.8,9915.9,9789.4,10610.4,10959.8,10962.1,10781.0,11024.1,10359.4,11063.5,11006.1,11498.0,12294.6,13179.6,13759.2,13002.1,13489.5,14496.1,15084.4,16120.3,16818.0,16237.1,15623.2,15981.3,16310.6,16437.1
 Brazil,10250.8,10257.9,10071.1,10312.4,10541.5,11084.1,11016.2,11157.1,10886.3,10694.3,11275.7,11236.5,11411.5,11420.2,11959.0,12208.2,12601.7,13280.3,13773.5,13648.9,14409.4,14921.0,15083.4,15579.0,15449.7,14775.2,14138.9,14248.3,14181.8,14262.9
 Brunei Darussalam,71468.8,71643.3,72947.5,71146.4,71413.6,72688.4,72937.5,70174.5,68211.3,68770.6,69253.6,69716.6,71006.9,71722.3,70852.7,70020.5,72083.3,71648.4,69405.3,67383.3,67479.3,67386.5,67319.1,66078.7,64339.5,66410.4,65043.2,64618.9,60975.3,63965.1
 Bulgaria,11189.3,10197.4,10321.7,10244.7,10449.3,10717.1,11237.5,9737.7,10331.3,9570.8,9977.3,10818.8,11916.6,12580.3,13438.5,14390.6,15088.1,15423.5,16908.4,16679.0,17073.0,17389.8,17885.6,17887.5,18576.7,18997.3,19857.7,20852.6,22405.6,23324.7
 Burkina Faso,1020.8,1083.4,1056.4,1061.5,1045.3,1078.3,1171.7,1207.6,1259.9,1307.4,1292.8,1338.1,1359.6,1420.6,1444.9,1522.1,1581.4,1597.6,1639.9,1624.0,1679.1,1718.2,1806.8,1852.7,1840.2,1852.3,1859.2,1976.8,2069.5,2133.0
 Burundi,1124.2,1169.4,1161.8,1061.4,1009.2,924.4,831.6,829.0,862.7,838.9,840.9,815.4,827.0,788.0,794.6,786.2,809.6,812.5,825.7,823.7,841.7,846.0,860.5,878.1,884.2,824.9,794.5,772.4,763.4,753.9
 Cabo Verde,2847.5,2808.2,2815.7,2931.9,3040.2,3170.2,3291.9,3471.9,3676.5,4017.1,4183.5,4432.1,4529.9,4696.5,4816.8,4982.7,5382.8,5895.3,6177.4,6028.9,5928.4,6119.9,6087.5,6106.1,5971.0,6035.2,6251.5,6414.0,6703.1,7019.2
 Cambodia,1007.6,1041.4,1079.8,1095.7,1105.1,1170.7,1194.4,1223.3,1239.7,1349.5,1444.5,1526.8,1583.5,1699.0,1840.1,2039.1,2226.5,2435.2,2542.5,2498.4,2602.2,2736.3,2869.3,3062.3,3195.9,3331.6,3507.4,3684.5,3875.7,4246.2
 Cameroon,3100.5,2834.5,2700.5,2419.9,2388.5,2400.4,2437.1,2494.3,2571.3,2618.5,2589.0,2609.8,2674.0,2788.8,2935.1,2901.7,2963.7,2996.3,3037.1,3054.7,3055.8,3094.8,3132.0,3199.6,3335.0,3410.5,3464.6,3487.4,3526.4,3580.9
 Canada,30821.6,29902.9,29733.3,30256.9,31212.3,31758.8,31973.5,33096.0,33649.7,34680.5,36323.1,36358.2,37330.3,38436.7,39696.0,41342.2,42852.4,45437.7,45392.7,43471.7,44189.6,45168.6,45526.6,46217.0,47026.0,47042.3,47128.4,48068.9,48291.7,48527.0
 Central African Republic,1312.5,1300.0,1248.6,1204.3,1218.5,1253.6,1126.6,1170.8,1191.7,1247.3,1234.8,1222.6,1188.4,1089.2,1087.3,1097.6,1127.0,1147.2,1154.3,1168.9,1218.2,1259.2,1317.8,839.1,837.6,869.8,903.1,959.3,980.7,993.0
 Chad,988.5,1051.4,1103.9,867.9,951.4,935.1,921.0,935.5,978.0,936.4,882.5,947.7,968.9,880.7,1286.9,1366.3,1240.2,1347.1,1302.6,1505.7,1669.4,1628.4,1716.4,1713.5,1778.2,1803.8,1656.4,1566.3,1553.1,1555.4
 Chile,9130.5,9691.8,10688.8,11279.0,11546.4,12443.9,13169.8,13976.4,14499.9,14185.3,14679.1,15022.8,15250.2,15389.2,15939.8,16552.0,16584.7,17399.5,18659.5,18342.0,19073.9,20264.5,21468.0,22055.5,22501.4,22949.4,23002.6,22685.2,23221.9,23261.3
 China,1468.5,1581.3,1777.7,1981.4,2198.1,2361.5,2571.4,2786.8,2964.5,3171.5,3416.5,3666.6,3988.5,4376.7,4805.6,5299.3,5969.0,6810.1,7457.9,8056.3,8846.6,9596.6,10373.5,11060.1,11932.4,12644.0,13433.7,14333.1,15187.2,16057.4
 Colombia,8012.8,8058.4,8256.7,8611.9,9030.7,9336.6,9323.0,9471.0,9411.9,8881.4,8946.6,8931.3,8997.4,9147.7,9491.4,9909.7,10426.8,10945.6,11113.9,11160.3,11461.3,12050.2,12468.7,13031.8,13563.8,14038.5,14186.4,14054.9,14085.0,14256.7
